"LoincNumber","priority","LongCommonName","PartNumber","PartName","PartCodeSystem","PartTypeName","LinkTypeName","Property","loinc.part.name","obo.uri","obo.label","rank","justification"
"23832-9",4,"Bordetella pertussis.pertussis toxin IgM Ab [Units/volume] in Serum","LP14371-6","Bordetella pertussis","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Bordetella pertussis","http://purl.obolibrary.org/obo/NCBITaxon_520","Bordetella pertussis",NA,"LOINC provided mappings"
"23883-2",4,"Inhibin A [Mass/volume] in Serum or Plasma","LP15665-0","Inhibin","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Inhibin","http://purl.obolibrary.org/obo/GO_0016916","",NA,"BioPortal mapping"
"24111-7",4,"Neisseria gonorrhoeae DNA [Presence] in Unspecified specimen by NAA with probe detection","LP18329-0","DNA","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","DNA","http://purl.obolibrary.org/obo/GO_0006310","",NA,"BioPortal mapping"
"24113-3",4,"Hepatitis B virus core IgM Ab [Presence] in Serum or Plasma by Immunoassay","LP14855-8","Virus","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Virus","http://purl.obolibrary.org/obo/NCBITaxon_10239","Viruses",NA,"LOINC provided mappings"
"24113-3",4,"Hepatitis B virus core IgM Ab [Presence] in Serum or Plasma by Immunoassay","LP14306-2","Hepatitis B virus","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Hepatitis B virus","http://purl.obolibrary.org/obo/NCBITaxon_10407","Hepatitis B virus",NA,"LOINC provided mappings"
"24467-3",4,"CD3+CD4+ (T4 helper) cells [#/volume] in Blood","LP14738-6","Cells","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","cell","http://purl.obolibrary.org/obo/CL_0000000","cell",0,"ols text search exact matches"
"24467-3",4,"CD3+CD4+ (T4 helper) cells [#/volume] in Blood","LP68352-1","CD4","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","CD4","http://purl.obolibrary.org/obo/PR_000001004","",NA,"BioPortal mapping"
"24467-3",4,"CD3+CD4+ (T4 helper) cells [#/volume] in Blood","LP14624-8","CD3","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","CD3","http://purl.obolibrary.org/obo/PR_000001018","",NA,"BioPortal mapping"
"24467-3",4,"CD3+CD4+ (T4 helper) cells [#/volume] in Blood","LP14624-8","CD3","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","CD3","http://purl.obolibrary.org/obo/PR_000001020","",NA,"BioPortal mapping"
"24471-5",4,"Platelet function (closure time) collagen+EPINEPHrine induced [Time] in Blood","LP18176-5","Collagen","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Collagen","http://purl.obolibrary.org/obo/CHEBI_3815","",NA,"BioPortal mapping"
"24471-5",4,"Platelet function (closure time) collagen+EPINEPHrine induced [Time] in Blood","LP16772-3","Platelet","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Platelet","http://purl.obolibrary.org/obo/CL_0000233","",NA,"BioPortal mapping"
"24471-5",4,"Platelet function (closure time) collagen+EPINEPHrine induced [Time] in Blood","LP15027-3","EPINEPHrine","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","EPINEPHrine","http://purl.obolibrary.org/obo/CHEBI_33568","adrenaline",NA,"LOINC provided mappings"
"24472-3",4,"Platelet function (closure time) collagen+ADP induced [Time] in Blood","LP18176-5","Collagen","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Collagen","http://purl.obolibrary.org/obo/CHEBI_3815","",NA,"BioPortal mapping"
"24472-3",4,"Platelet function (closure time) collagen+ADP induced [Time] in Blood","LP35677-1","Adenosine","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Adenosine","http://purl.obolibrary.org/obo/CHEBI_16335","adenosine",NA,"LOINC provided mappings"
"24472-3",4,"Platelet function (closure time) collagen+ADP induced [Time] in Blood","LP16772-3","Platelet","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Platelet","http://purl.obolibrary.org/obo/CL_0000233","",NA,"BioPortal mapping"
"24472-3",4,"Platelet function (closure time) collagen+ADP induced [Time] in Blood","LP15325-1","Adenosine diphosphate","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Adenosine diphosphate","http://purl.obolibrary.org/obo/CHEBI_22252","adenosine diphosphate",NA,"LOINC provided mappings"
"24476-4",4,"F2 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal","LP199195-1","Gene","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Gene","http://purl.obolibrary.org/obo/SO_0000704","",NA,"BioPortal mapping"
"2500-7",4,"Iron binding capacity [Mass/volume] in Serum or Plasma","LP15677-5","Iron","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Iron","http://purl.obolibrary.org/obo/CHEBI_18248","iron atom",NA,"LOINC provided mappings"
"2501-5",4,"Iron binding capacity.unsaturated [Mass/volume] in Serum or Plasma","LP15677-5","Iron","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Iron","http://purl.obolibrary.org/obo/CHEBI_18248","iron atom",NA,"LOINC provided mappings"
"2502-3",4,"Iron saturation [Mass Fraction] in Serum or Plasma","LP15677-5","Iron","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Iron","http://purl.obolibrary.org/obo/CHEBI_18248","iron atom",NA,"LOINC provided mappings"
"25089-4",4,"4-Hydroxyphenyllactate/Creatinine [Molar ratio] in Urine","LP14355-9","Creatinine","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Creatinine","http://purl.obolibrary.org/obo/CHEBI_16737","creatinine",NA,"LOINC provided mappings"
"25148-8",4,"Calcium oxalate crystals [#/area] in Urine sediment by Microscopy high power field","LP15761-7","Oxalate","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Oxalate","http://purl.obolibrary.org/obo/CHEBI_132952","oxalate",NA,"LOINC provided mappings"
"25148-8",4,"Calcium oxalate crystals [#/area] in Urine sediment by Microscopy high power field","LP16849-9","Crystals","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","crystal","http://purl.obolibrary.org/obo/FOODON_03430143","crystal",0,"ols text search exact matches"
"25148-8",4,"Calcium oxalate crystals [#/area] in Urine sediment by Microscopy high power field","LP15257-6","Calcium","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Calcium","http://purl.obolibrary.org/obo/CHEBI_22984","calcium atom",NA,"LOINC provided mappings"
"25296-5",4,"Streptococcus pneumoniae Danish serotype 7F IgG Ab [Mass/volume] in Serum","LP14410-2","Streptococcus pneumoniae","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Streptococcus pneumoniae","http://purl.obolibrary.org/obo/NCBITaxon_1313","Streptococcus pneumoniae",NA,"LOINC provided mappings"
"2532-0",4,"Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma","LP15686-6","Lactate","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Lactate","http://purl.obolibrary.org/obo/CHEBI_24996","lactate",NA,"LOINC provided mappings"
"2533-8",4,"Lactate dehydrogenase [Enzymatic activity/volume] in Synovial fluid","LP15686-6","Lactate","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Lactate","http://purl.obolibrary.org/obo/CHEBI_24996","lactate",NA,"LOINC provided mappings"
"2536-1",4,"Lactate dehydrogenase 1/Lactate dehydrogenase.total in Serum or Plasma by Electrophoresis","LP15686-6","Lactate","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Lactate","http://purl.obolibrary.org/obo/CHEBI_24996","lactate",NA,"LOINC provided mappings"
"25389-8",4,"Taenia solium larva IgG Ab [Units/volume] in Serum by Immunoassay","LP14847-5","Taenia solium","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Taenia solium","http://purl.obolibrary.org/obo/NCBITaxon_6204","Taenia solium",NA,"LOINC provided mappings"
"2539-5",4,"Lactate dehydrogenase 2/Lactate dehydrogenase.total in Serum or Plasma by Electrophoresis","LP15686-6","Lactate","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Lactate","http://purl.obolibrary.org/obo/CHEBI_24996","lactate",NA,"LOINC provided mappings"
"2542-9",4,"Lactate dehydrogenase 3/Lactate dehydrogenase.total in Serum or Plasma by Electrophoresis","LP15686-6","Lactate","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Lactate","http://purl.obolibrary.org/obo/CHEBI_24996","lactate",NA,"LOINC provided mappings"
"2545-2",4,"Lactate dehydrogenase 4/Lactate dehydrogenase.total in Serum or Plasma by Electrophoresis","LP15686-6","Lactate","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Lactate","http://purl.obolibrary.org/obo/CHEBI_24996","lactate",NA,"LOINC provided mappings"
"2548-6",4,"Lactate dehydrogenase 5/Lactate dehydrogenase.total in Serum or Plasma by Electrophoresis","LP15686-6","Lactate","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Lactate","http://purl.obolibrary.org/obo/CHEBI_24996","lactate",NA,"LOINC provided mappings"
"25742-8",4,"Prothrombin Fragment 1.2 [Moles/volume] in Serum or Plasma","LP16010-8","Prothrombin","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Prothrombin","http://purl.obolibrary.org/obo/CHEBI_8583","",NA,"BioPortal mapping"
"25821-0",4,"Staphylococcus aureus enterotoxin A IgE Ab [Units/volume] in Serum","LP16662-6","Staphylococcus aureus","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Staphylococcus aureus","http://purl.obolibrary.org/obo/NCBITaxon_1280","Staphylococcus aureus",NA,"LOINC provided mappings"
"25822-8",4,"Staphylococcus aureus enterotoxin B IgE Ab [Units/volume] in Serum","LP16662-6","Staphylococcus aureus","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Staphylococcus aureus","http://purl.obolibrary.org/obo/NCBITaxon_1280","Staphylococcus aureus",NA,"LOINC provided mappings"
"26010-9",4,"Alkaline phosphatase.other fractions/Alkaline phosphatase.total in Serum or Plasma","LP15346-7","Alkaline phosphatase","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Alkaline phosphatase","http://purl.obolibrary.org/obo/PR_000023540","",NA,"BioPortal mapping"
"26019-0",4,"Creatine Kinase.macromolecular type 1/Creatine kinase.total in Serum or Plasma","LP15510-8","Creatine kinase","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Creatine kinase","http://purl.obolibrary.org/obo/PR_000029971","",NA,"BioPortal mapping"
"26019-0",4,"Creatine Kinase.macromolecular type 1/Creatine kinase.total in Serum or Plasma","LP15509-0","Creatine","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Creatine","http://purl.obolibrary.org/obo/CHEBI_16919","creatine",NA,"LOINC provided mappings"
"26020-8",4,"Creatine Kinase.macromolecular type 2/Creatine kinase.total in Serum or Plasma","LP15509-0","Creatine","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Creatine","http://purl.obolibrary.org/obo/CHEBI_16919","creatine",NA,"LOINC provided mappings"
"26020-8",4,"Creatine Kinase.macromolecular type 2/Creatine kinase.total in Serum or Plasma","LP15510-8","Creatine kinase","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Creatine kinase","http://purl.obolibrary.org/obo/PR_000029971","",NA,"BioPortal mapping"
"26028-1",4,"HLA-B27 [Presence] by Flow cytometry (FC)","LP29288-5","HLA","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","HLA","http://purl.obolibrary.org/obo/OGG_3005330660","",NA,"BioPortal mapping"
"26052-1",4,"Epithelial cells.renal [#/area] in Urine sediment by Microscopy high power field","LP14738-6","Cells","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","cell","http://purl.obolibrary.org/obo/CL_0000000","cell",0,"ols text search exact matches"
"26446-5",4,"Blasts/100 leukocytes in Blood","LP14419-3","Leukocytes","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","leukocyte","http://purl.obolibrary.org/obo/CL_0000738","leukocyte",0,"ols text search exact matches"
"26472-1",4,"Leukocytes other/100 leukocytes in Cerebral spinal fluid","LP14419-3","Leukocytes","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","leukocyte","http://purl.obolibrary.org/obo/CL_0000738","leukocyte",0,"ols text search exact matches"
"26473-9",4,"Leukocytes other/100 leukocytes in Body fluid","LP14419-3","Leukocytes","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","leukocyte","http://purl.obolibrary.org/obo/CL_0000738","leukocyte",0,"ols text search exact matches"
"26477-0",4,"Variant lymphocytes [#/volume] in Blood","LP14540-6","Lymphocytes","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","lymphocyte","http://purl.obolibrary.org/obo/CL_0000542","lymphocyte",0,"ols text search exact matches"
"26505-8",4,"Segmented neutrophils/100 leukocytes in Blood","LP14419-3","Leukocytes","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","leukocyte","http://purl.obolibrary.org/obo/CL_0000738","leukocyte",0,"ols text search exact matches"
"26505-8",4,"Segmented neutrophils/100 leukocytes in Blood","LP14267-6","Neutrophils","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","neutrophil","http://purl.obolibrary.org/obo/CL_0000775","neutrophil",0,"ols text search exact matches"
"26506-6",4,"Segmented neutrophils/100 leukocytes in Cerebral spinal fluid","LP14419-3","Leukocytes","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","leukocyte","http://purl.obolibrary.org/obo/CL_0000738","leukocyte",0,"ols text search exact matches"
"26506-6",4,"Segmented neutrophils/100 leukocytes in Cerebral spinal fluid","LP14267-6","Neutrophils","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","neutrophil","http://purl.obolibrary.org/obo/CL_0000775","neutrophil",0,"ols text search exact matches"
"26507-4",4,"Band form neutrophils [#/volume] in Blood","LP14267-6","Neutrophils","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","neutrophil","http://purl.obolibrary.org/obo/CL_0000775","neutrophil",0,"ols text search exact matches"
"26508-2",4,"Band form neutrophils/100 leukocytes in Blood","LP14419-3","Leukocytes","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","leukocyte","http://purl.obolibrary.org/obo/CL_0000738","leukocyte",0,"ols text search exact matches"
"26508-2",4,"Band form neutrophils/100 leukocytes in Blood","LP14267-6","Neutrophils","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","neutrophil","http://purl.obolibrary.org/obo/CL_0000775","neutrophil",0,"ols text search exact matches"
"26570-2",4,"CD4+CD45+ cells [#/volume] in Blood","LP68352-1","CD4","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","CD4","http://purl.obolibrary.org/obo/PR_000001004","",NA,"BioPortal mapping"
"26570-2",4,"CD4+CD45+ cells [#/volume] in Blood","LP14738-6","Cells","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","cell","http://purl.obolibrary.org/obo/CL_0000000","cell",0,"ols text search exact matches"
"26573-6",4,"CD4+CD45+ cells/100 cells in Blood","LP14738-6","Cells","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","cell","http://purl.obolibrary.org/obo/CL_0000000","cell",0,"ols text search exact matches"
"26573-6",4,"CD4+CD45+ cells/100 cells in Blood","LP68352-1","CD4","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","CD4","http://purl.obolibrary.org/obo/PR_000001004","",NA,"BioPortal mapping"
"26759-1",4,"CD4+CD45RA+ cells [#/volume] in Blood","LP14738-6","Cells","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","cell","http://purl.obolibrary.org/obo/CL_0000000","cell",0,"ols text search exact matches"
"26759-1",4,"CD4+CD45RA+ cells [#/volume] in Blood","LP68352-1","CD4","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","CD4","http://purl.obolibrary.org/obo/PR_000001004","",NA,"BioPortal mapping"
"26845-8",4,"Sialate.lipid bound [Mass/volume] in Serum or Plasma","LP15864-9","Sialate","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Sialate","http://purl.obolibrary.org/obo/CHEBI_35418","N-acetylneuraminate",NA,"LOINC provided mappings"
"26870-6",4,"Ganglioside GD1b Ab [Units/volume] in Serum by Immunoassay","LP66701-1","Ganglioside","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Ganglioside","http://purl.obolibrary.org/obo/CHEBI_28892","",NA,"BioPortal mapping"
"26997-7",4,"CD3+CD25+ cells [#/volume] in Blood","LP14624-8","CD3","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","CD3","http://purl.obolibrary.org/obo/PR_000001020","",NA,"BioPortal mapping"
"26997-7",4,"CD3+CD25+ cells [#/volume] in Blood","LP14738-6","Cells","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","cell","http://purl.obolibrary.org/obo/CL_0000000","cell",0,"ols text search exact matches"
"26997-7",4,"CD3+CD25+ cells [#/volume] in Blood","LP14624-8","CD3","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","CD3","http://purl.obolibrary.org/obo/PR_000001018","",NA,"BioPortal mapping"
"2708-6",4,"Oxygen saturation in Arterial blood","LP14536-4","Oxygen","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Oxygen","http://purl.obolibrary.org/obo/CHEBI_25805","oxygen atom",NA,"LOINC provided mappings"
"2709-4",4,"Oxygen saturation in Capillary blood","LP14536-4","Oxygen","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Oxygen","http://purl.obolibrary.org/obo/CHEBI_25805","oxygen atom",NA,"LOINC provided mappings"
"27092-6",4,"Deprecated Streptococcus pneumoniae 1 IgG Ab [Mass/volume] in Serum","LP14410-2","Streptococcus pneumoniae","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Streptococcus pneumoniae","http://purl.obolibrary.org/obo/NCBITaxon_1313","Streptococcus pneumoniae",NA,"LOINC provided mappings"
"27094-2",4,"Deprecated Streptococcus pneumoniae 4 IgG Ab [Mass/volume] in Serum","LP14410-2","Streptococcus pneumoniae","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Streptococcus pneumoniae","http://purl.obolibrary.org/obo/NCBITaxon_1313","Streptococcus pneumoniae",NA,"LOINC provided mappings"
"27096-7",4,"Deprecated Streptococcus pneumoniae 3 IgG Ab [Mass/volume] in Serum","LP14410-2","Streptococcus pneumoniae","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Streptococcus pneumoniae","http://purl.obolibrary.org/obo/NCBITaxon_1313","Streptococcus pneumoniae",NA,"LOINC provided mappings"
"2711-0",4,"Oxygen saturation in Venous blood","LP14536-4","Oxygen","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Oxygen","http://purl.obolibrary.org/obo/CHEBI_25805","oxygen atom",NA,"LOINC provided mappings"
"27113-0",4,"Deprecated Streptococcus pneumoniae 8 IgG Ab [Mass/volume] in Serum","LP14410-2","Streptococcus pneumoniae","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Streptococcus pneumoniae","http://purl.obolibrary.org/obo/NCBITaxon_1313","Streptococcus pneumoniae",NA,"LOINC provided mappings"
"27118-9",4,"Streptococcus pneumoniae Danish serotype 6B IgG Ab [Mass/volume] in Serum","LP14410-2","Streptococcus pneumoniae","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Streptococcus pneumoniae","http://purl.obolibrary.org/obo/NCBITaxon_1313","Streptococcus pneumoniae",NA,"LOINC provided mappings"
"2713-6",4,"Oxygen saturation Calculated from oxygen partial pressure in Blood","LP14536-4","Oxygen","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Oxygen","http://purl.obolibrary.org/obo/CHEBI_25805","oxygen atom",NA,"LOINC provided mappings"
"2731-8",4,"Parathyrin.intact [Mass/volume] in Serum or Plasma","LP18184-9","Parathyrin","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Parathyrin","http://purl.obolibrary.org/obo/CHEBI_80273","Parathyroid hormone",NA,"LOINC provided mappings"
"27374-8",4,"Deprecated Streptococcus pneumoniae 12 IgG Ab [Mass/volume] in Serum","LP14410-2","Streptococcus pneumoniae","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Streptococcus pneumoniae","http://purl.obolibrary.org/obo/NCBITaxon_1313","Streptococcus pneumoniae",NA,"LOINC provided mappings"
"27387-0",4,"Deprecated Streptococcus pneumoniae 14 IgG Ab [Mass/volume] in Serum","LP14410-2","Streptococcus pneumoniae","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Streptococcus pneumoniae","http://purl.obolibrary.org/obo/NCBITaxon_1313","Streptococcus pneumoniae",NA,"LOINC provided mappings"
"27389-6",4,"Deprecated Streptococcus pneumoniae 23 IgG Ab [Mass/volume] in Serum","LP14410-2","Streptococcus pneumoniae","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Streptococcus pneumoniae","http://purl.obolibrary.org/obo/NCBITaxon_1313","Streptococcus pneumoniae",NA,"LOINC provided mappings"
"27390-4",4,"Deprecated Streptococcus pneumoniae 19 IgG Ab [Mass/volume] in Serum","LP14410-2","Streptococcus pneumoniae","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Streptococcus pneumoniae","http://purl.obolibrary.org/obo/NCBITaxon_1313","Streptococcus pneumoniae",NA,"LOINC provided mappings"
"27392-0",4,"Deprecated Streptococcus pneumoniae 9 IgG Ab [Mass/volume] in Serum","LP14410-2","Streptococcus pneumoniae","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Streptococcus pneumoniae","http://purl.obolibrary.org/obo/NCBITaxon_1313","Streptococcus pneumoniae",NA,"LOINC provided mappings"
"27395-3",4,"Streptococcus pneumoniae Danish serotype 18C IgG Ab [Mass/volume] in Serum","LP14410-2","Streptococcus pneumoniae","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Streptococcus pneumoniae","http://purl.obolibrary.org/obo/NCBITaxon_1313","Streptococcus pneumoniae",NA,"LOINC provided mappings"
"27819-2",4,"Protein C actual/normal in Platelet poor plasma by Coagulation assay","LP15838-3","Protein","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Protein","http://purl.obolibrary.org/obo/CHEBI_36080","protein",NA,"LOINC provided mappings"
"27820-0",4,"Protein C Ag actual/normal in Platelet poor plasma by Immunoassay","LP15838-3","Protein","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Protein","http://purl.obolibrary.org/obo/CHEBI_36080","protein",NA,"LOINC provided mappings"
"27821-8",4,"Protein S Free Ag actual/normal in Platelet poor plasma by Immunoassay","LP15838-3","Protein","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Protein","http://purl.obolibrary.org/obo/CHEBI_36080","protein",NA,"LOINC provided mappings"
"27822-6",4,"Protein S actual/normal in Platelet poor plasma by Coagulation assay","LP15838-3","Protein","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Protein","http://purl.obolibrary.org/obo/CHEBI_36080","protein",NA,"LOINC provided mappings"
"27823-4",4,"Protein S Ag actual/normal in Platelet poor plasma by Immunoassay","LP15838-3","Protein","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Protein","http://purl.obolibrary.org/obo/CHEBI_36080","protein",NA,"LOINC provided mappings"
"27948-9",4,"Herpes simplex virus 1+2 IgG Ab [Units/volume] in Serum by Immunoassay","LP14558-8","Herpes simplex virus","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Herpes simplex virus","http://purl.bioontology.org/ontology/NCBITAXON/10294","",NA,"BioPortal mapping"
"27948-9",4,"Herpes simplex virus 1+2 IgG Ab [Units/volume] in Serum by Immunoassay","LP14855-8","Virus","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Virus","http://purl.obolibrary.org/obo/NCBITaxon_10239","Viruses",NA,"LOINC provided mappings"
"27948-9",4,"Herpes simplex virus 1+2 IgG Ab [Units/volume] in Serum by Immunoassay","LP14821-0","Herpes simplex virus 1","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Herpes simplex virus 1","http://purl.obolibrary.org/obo/NCBITaxon_10298","Human alphaherpesvirus 1",NA,"LOINC provided mappings"
"27984-4",4,"SCA8 gene CAG repeats [Presence] in Blood or Tissue by Molecular genetics method","LP199195-1","Gene","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Gene","http://purl.obolibrary.org/obo/SO_0000704","",NA,"BioPortal mapping"
"28005-7",4,"MTHFR gene c.677C>T [Genotype] in Blood or Tissue by Molecular genetics method Nominal","LP199195-1","Gene","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Gene","http://purl.obolibrary.org/obo/SO_0000704","",NA,"BioPortal mapping"
"28060-2",4,"MTHFR gene c.1298A>C [Genotype] in Blood or Tissue by Molecular genetics method Nominal","LP199195-1","Gene","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Gene","http://purl.obolibrary.org/obo/SO_0000704","",NA,"BioPortal mapping"
"29334-0",4,"Aspergillus fumigatus 2 Ab [Presence] in Serum","LP13947-4","Aspergillus fumigatus","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Aspergillus fumigatus","http://purl.obolibrary.org/obo/NCBITaxon_746128","Aspergillus fumigatus",NA,"LOINC provided mappings"
"29497-5",4,"Platelet associated IgG Ab [Presence] in Blood by Flow cytometry (FC)","LP16772-3","Platelet","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Platelet","http://purl.obolibrary.org/obo/CL_0000233","",NA,"BioPortal mapping"
"29498-3",4,"Platelet associated IgM Ab [Presence] in Blood by Flow cytometry (FC)","LP16772-3","Platelet","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Platelet","http://purl.obolibrary.org/obo/CL_0000233","",NA,"BioPortal mapping"
"29723-4",4,"Bordetella parapertussis DNA [Presence] in Unspecified specimen by NAA with probe detection","LP18329-0","DNA","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","DNA","http://purl.obolibrary.org/obo/GO_0006310","",NA,"BioPortal mapping"
"29771-3",4,"Hemoglobin.gastrointestinal.lower [Presence] in Stool by Immunoassay","LP14449-0","Hemoglobin","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Hemoglobin","http://purl.obolibrary.org/obo/CHEBI_35143","",NA,"BioPortal mapping"
"2990-0",4,"Testosterone.free+weakly bound [Mass/volume] in Serum or Plasma","LP14045-6","Testosterone","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Testosterone","http://purl.obolibrary.org/obo/CHEBI_17347","testosterone",NA,"LOINC provided mappings"
"2990-0",4,"Testosterone.free+weakly bound [Mass/volume] in Serum or Plasma","LP18811-7","Testosterone.free","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Testosterone.free","http://purl.obolibrary.org/obo/CHEBI_17347","testosterone",NA,"LOINC provided mappings"
"29967-7",4,"Neutrophil cytoplasmic IgG Ab [Titer] in Serum by Immunofluorescence","LP16686-5","Neutrophil","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Neutrophil","http://purl.obolibrary.org/obo/CL_0000775","",NA,"BioPortal mapping"
"30083-0",4,"Epstein Barr virus nuclear IgG Ab [Units/volume] in Serum by Immunoassay","LP14855-8","Virus","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Virus","http://purl.obolibrary.org/obo/NCBITaxon_10239","Viruses",NA,"LOINC provided mappings"
"30083-0",4,"Epstein Barr virus nuclear IgG Ab [Units/volume] in Serum by Immunoassay","LP14383-1","Epstein Barr virus","http://loinc.org","COMPONENT","Search","http://loinc.org/property/search","Epstein Barr virus","http://purl.obolibrary.org/obo/NCBITaxon_10376","Human gammaherpesvirus 4",NA,"LOINC provided mappings"
