"FK_LAB_RESULT_ITEM_ID","LAB_RESULT_ITEM_CODE","LAB_RESULT_ITEM_DESCRIPTION","LOINC","""COUNT(1)"""
4861801,%O2HB,%O2HB,"11559-2",298
163254,C1Q COMPLEMENT,C C1Q COMPLEMENT,,298
228532,Base Excess ISTAT,Base Excess ISTAT- PAH,,298
228451,Special Specimen Type,Special Specimen Type (prompt),,298
11923170,GAD-65,GAD-65 (LC),,298
234942,.CT Abdomen Combined,CT Abdomen Combined,,297
11919837,SYCAMORE TREE,T011-IGE MAPLE LEAF SYCAMORE (LC),,297
237159,Factor II,MCODES_Factor II Assay,,297
11920257,LOWER RESPIRATORY CULTURE,LOWER RESPIRATORY CULTURE (LC),,297
4858027,(AA).CD55.0 (% Positive),(AA).CD55.0 (% Positive),,296
163869,"MUMPS ANTIBODY, IGM","C MUMPS ANTIBODY, IGM","25419-3",296
4861160,Block ID,Block ID,"31208-2",296
4861496,(gDNA).STR.TPOX (Recipient 2),(gDNA).STR.TPOX (Recipient 2),,296
226117,Platelet Count (SPLT),Platelet Count (SPLT),,296
171947,. FACTOR V REPORT,. FACTOR V REPORT,,296
4868261,Ur Amylase U per L,Ur Amylase U/L,"33599-2",296
226100,MCV (SMCV),Special MCV,,296
10414009,PCA3 by TMA - Score,PCA3 by TMA - Score,"69361-4",295
10411011,PCA3 by TMA - Result,PCA3 by TMA - Result,"69362-2",295
1409005,BILIRUBIN TOTAL,"BILIRUBIN, TOTAL","1975-2",295
176122,COMMENT - SONO HIST US LIM,COMMENT - SONO HIST US LIMITED,,295
4869247,U Copper Lvl,Urine Copper Level,"5633-3",295
11914453,BILIRUBIN INDIRECT,"BILIRUBIN, INDIRECT (Q)",,294
1412147,Q F4,Q F4,,294
1412130,METAVIR,Q METAVIR,,294
165252,PATHOLOGIST,PATHOLOGIST,,294
1409147,Q F0-F1,Q F0-F1,,294
171923,TUBE NUMBER BF,TUBE NUMBER BF,,294
18328006,UPHS CV LLVI SSV PROX CALF,UPHS CV LLVI SSV PROX CALF,,294
165249,PATHOLOGICAL DIAGNOSIS,PATHOLOGICAL DIAGNOSIS,,294
1408017,"Q COMPLEMENT, TOTAL (CH50 UNITS)","Q COMPLEMENT, TOTAL (CH50 UNITS)","4532-8",294
1408147,Q F3,Q F3,,294
1410147,Q F2,Q F2,,294
18035091,RPROFPSV,RIGHT PROFUNDA SYS PSV,,294
227636,Protein Calculated.,Protein Calculated PAH,,294
1413125,"DONOR, HIV 1/2 AB SCREEN","Q DONOR, HIV 1/2 AB SCRE*",,293
165015,"CRYOGLOBULIN IGA, RE","CRYOGLOBULIN IGA, RE",,293
228686,Urine Protein.,Urine Protein PAH,,293
229607,US Preg 1st Tri (< 14 WKS) TRANSABD ONLY,US Preg 1st Tri (< 14 WKS) TRANSABD ONLY,,293
159824,"CRYOGLOBULIN IGM, RE","CRYOGLOBULIN IGM, RE",,293
11845204,HEMOGLOBIN INTERPRET,HEMOGLOBIN INTERP (CCH),"13514-5",293
237686,Abdomen 2 Views w/ Oblique,Abdomen 2 Views w/ Oblique PAH,,293
171131,"CRYOGLOBULIN IGG, RE","CRYOGLOBULIN IGG, RE",,293
4860028,(AA).CD59.0 (Control Intensity),(AA).CD59.0 (Control Intensity),,292
227559,Culture Site.,CMV Culture Prompt PAH,,292
11924935,% CD3,% CD 3 POS. LYMPH. (LC),,292
1410076,Q CRYOGLOBULIN EVALUATION,Q CRYOGLOBULIN EVALUATION,,292
4861489,(gDNA).STR.AMEL (Recipient 2),(gDNA).STR.AMEL (Recipient 2),,292
11916929,ABSOLUTE CD3,ABSOLUTE CD 3 (LC),,292
159420,RABIES TITER,C RABIES TITER,"58023-3",291
4857589,HSV 2 IgG Ab,HSV 2 Antibody IgG Immunoblot,,291
237342,Workup for parasites other than Cryptosp,MCODES_Ova & Parasites,,291
10255011,APOLIPOPROTEIN B,APOLIPOPROTEIN B,,291
4855027,(AA).CD55.0 (Control Intensity),(AA).CD55.0 (Control Intensity),,291
10725011,Immature Eos Man,Immature Eos Manual,,291
10828012,"Paraneoplastic Abs IgG, CSF","Paraneoplastic Abs IgG, CSF",,291
166798,Q MARIJUANA METABOLITES (50 NG/ML SCREEN),Q MARIJUANA METABOLITES (50 NG/ML SCREEN),"14312-3",291
230089,MRI Brain wo Contrast PMC,MRI Brain wo Contrast PMC,,291
4858589,HSV 1 IgG Ab,HSV 1 Antibody IgG Immunoblot,,291
234737,.Approval Test for Immunology (IAPR),LEAN Approval Test for Immunology (IAPR),,291
11916759,"GLUCOSE, 2 HOUR","GLUCOSE, 2 HOUR (LC)",,291
11919049,LUPUS REFLEX INTERPRETATION,LUPUS REFLEX INTERPRETATION (LC),,290
11844062,FASTING INSULIN,FASTING INSULIN (CCH),"20448-7",290
6879007,MEDMATCH OXYCODONE,Q MEDMATCH OXYCODONE,,290
4868247,U Copper/creat,U Copper (mcg/g creat),"29942-0",290
9036107,RESULTS RECEIVED,RESULTS RECEIVED,,290
159371,COTININE,C COTININE,"10365-5",290
11922973,"METHADONE SCREEN, URINE","METHADONE SCREEN, URINE (LC)",,290
4861590,HSV Common Ag,HSV Common Antigen,,290
4857027,(AA).CD59.0 (Average Fluorescence Intens,(AA).CD59.0 (Average Fluorescence Intens,,290
4858322,Cre mg Copper,Urine Creat mg Copper,"20624-3",290
4862890,Phenylalanine,Phenylalanine,"14875-9",289
4863270,Ur Organic Int.,Ur Organic Interpretation,"33477-1",289
8524004,C LOW PEEP,C LOW PEEP,,289
18327006,UPHS CV LLVI SSV MID CALF,UPHS CV LLVI SSV MID CALF,,289
4860027,(AA).CD55.0 (Average Fluorescence Intens,(AA).CD55.0 (Average Fluorescence Intens,,289
4863302,VZV PCR,VZV PCR,"8049-9",289
18332005,UPHS CV LLVI GSV DISTAL CALF,UPHS CV LLVI GSV DISTAL CALF,,289
4859574,HLA LSB1,HLA Class I Luminex Specificity,,289
4867233,Tyrosine,Tyrosine,"20660-7",289
4861339,Cystine,Cystine,"22672-0",289
4856271,Citrulline,Citrulline,"20640-9",289
160514,"3-OH-COTININE, S/P","C 3-OH-COTININE, S/P","35140-3",289
4868140,State SO,Specimen Sent to State,,289
4858930,Prev Sample Date,Previous Sample Date,,288
170517,CLOZAPINE,C CLOZAPINE,,288
6769004,MEDMATCH METHADONE,Q MEDMATCH METHADONE,,288
11912071,CREATININE URINE,"CREATININE, RANDOM URINE (Q)",,288
4527003,C BODY FLUID TYPE,C BODY FLUID TYPE,,288
11922745,"GENITAL CULTURE, ROUTINE","GENITAL CULTURE, ROUTINE (LC)",,288
4527018,C HOMOCYSTEINE,C HOMOCYSTEINE,"13965-9",288
231529,Protein S Immunologic,LEAN Protein S Immunologic,,288
159888,TRILEPTAL (10-HYDROX,C TRILEPTAL (10-HYDROX,,288
8713013,NIPT INTERPRETATION,Q NIPT INTERPRETATION,,288
165582,TYROSINE CRYSTALS,C TYROSINE CRYSTALS,"5815-6",288
18033078,LSFPPSV,LEFT SUPER FEMORAL PROX SYS PSV,,288
6876009,MEDMATCH PHENCYCLIDINE,Q MEDMATCH PHENCYCLIDINE,,288
228322,Bone Marro Tube#,Bone Marro Tube# (prompt),,288
171320,LEUCINE CRYSTALS,C LEUCINE CRYSTALS,"5798-4",287
4861892,P HGB,Hemoglobin for GPQN,"718-7",287
12348015,B.pertussis IgG PT,B.pertussis IgG PT,"23830-3",287
12350018,B.pertussis IgG FHA,B.pertussis IgG FHA,"43880-4",287
229770,CT Heart w/con - cardiac struct & morph,CT Heart w&woCont ECG/3D StructMorph HUP,,287
4858502,Genom WideArray,Genom WideArray,,287
1414094,Q HEPTIMAX (R) HCV RNA,Q HEPTIMAX (R) HCV RNA,,287
234825,CT Maxillofacial without Contrast PMC,CT Maxillofacial without Contrast PMC,,287
12350019,B.pertussis IgG PT100,B.pertussis IgG PT100,,287
4868185,Thyroglobulin Ab,Thyroglobulin Antibody,"8098-6",287
12349014,B.pertussus IgG Intp,B.pertussis IgG Interp,"29672-3",287
8480007,HLA LRDQA,HLA LRDQA,"13307-4",286
231658,MRI Clinical Spectroscopy HUP,MRI Clinical Spectroscopy HUP,,286
228772,Piperacillin MIC,Piperacillin MIC,,286
1407044,Q RESULT,Q RESULT:,,286
6710005,TAY SACHS DNA,Q TAY SACHS DNA,,285
171384,FATTY CAST,C FATTY CAST,"5789-3",285
18329003,UPHS CV RLVI DIAMETER GSV MID THIGH,UPHS CV RLVI DIAMETER GSV MID THIGH,,285
11841374,PANCREATIC ELASTASE,PANCREATIC ELASTASE (CCH),"25907-7",285
18035282,TVMG,TV MEAN GRADIENT,,285
4856582,Homocysteine.,Homocysteine.,,285
18330004,UPHS CV RLVI DIAMETER GSV DISTAL THIGH,UPHS CV RLVI DIAMETER GSV DISTAL THIGH,,284
6114003,THYROID STIMULATING HORMONE,C TSH,,284
6767004,MEDMATCH COCAINE METAB,Q MEDMATCH COCAINE *,,284
8479004,Adeno Deaminase Pleural Fld,Adeno Deaminase Pleural Fluid,"35704-6",284
11924907,COOMBS TITER #1,COOMBS TITER #1 (LC),,284
11911745,"SURESWAB(R) TRICHOMONAS VAGINALIS RNA, QL, TMA","SURESWAB(R) TRICHOMONAS VAGINALIS RNA, QL, TMA (Q)",,284
235717,Phenobarbital Level .,Phenobarbital PAH,,284
233363,CT Head/Brain w/ Contrast HUP,CT Head/Brain w/ Contrast HUP,,284
11844016,"ALDOLASE, SERUM","ALDOLASE,SERUM (CCH)","1761-6",283
4859319,Cre D Copper,Urine Creat D Copper,"2162-6",283
11541003,BICARBONATE CORD ARTERIAL,HCO3 CORD ART,"28640-1",283
11841102,PELGER HUET,PELGER HUET (CCH),"18311-1",283
18327003,UPHS CV RLVI DIAMETER GSV PROX THIGH,UPHS CV RLVI DIAMETER GSV PROX THIGH,,283
1769001,PANEL SUMMARY,Q PANEL SUMMARY,,283
166938,RIGHT CORTISOL,RIGHT CORTISOL,,283
4858442,Fax result,Fax result,,283
8714013,NEISSERIA GONORROHOEAE BY PCR,"Q NEISSERIA GONORRHOEAE RNA, TMA, RECTAL",,283
11921608,% NK (CD56/16),% NK (CD56/16) (LC),,282
4867248,U Copper 24h,U Copper 24h  (mcg/day),"2162-6",282
160638,VMA VOLUME,VMA VOLUME,"19153-6",282
11920609,AB NK (CD56/16),AB NK (CD56/16) (LC),,282
883002,ALBUMIN,"Q ALBUMIN,SERUM","1751-7",282
2969001,"TISSUE THROMBOPLASTIN INHIBITION, TEST","Q TISSUE THROMBOPLASTIN INHIBITION, TEST",,282
6712004,MEDMATCH BARBITURATES,Q MEDMATCH BARBITUR*,,282
1874003,COCKLEBUR (W13) IGE,Q COCKLEBUR (W13) I*,,281
11923015,ACETYLCHOLINE RECEPT,"ACHR BINDING ABS, SERUM (LC)",,281
226772,Penicillin MIC,Penicillin MIC,,281
164721,"68KD (HSP-70) ABS",C 68KD (HSP-70) ABS,"43597-4",281
8689004,MESSAGE,Q MESSAGE,,281
233950,Functional Antithrombin III,LEAN Functional Antithrombin III,,280
235035,Hips Bilateral 2+ Vs ea + AP Pelvis PMC,Hips Bilateral 2+ Vs ea + AP Pelvis PMC,,280
1413096,Q HEPTIMAX (R) HCV RNA,Q HEPTIMAX (R) HCV RNA,,280
160686,TIME CYSTINE,TIME CYSTINE,,280
170792,VANILLYL MANDELIC AC,C VANILLYL MANDELIC AC,"3122-9",280
11924780,CREATININE CLEARANCE,CREATININE CLEARANCE (LC),,280
8688007,T21 PANORAMA RISK SCORE,Q T21 PANORAMA RISK SCORE,,279
8689007,T18 COMMENTS,Q?T18 COMMENTS,,279
8690009,TESTING METHODOLOGY,Q TESTING METHODOLOGY,,279
171905,SPECIMEN (SEARCH),SPECIMEN (SEARCH),,279
8688009,MX RESULT,Q MX RESULT,,279
163998,VANILLYLMANDELIC ACI,C VANILLYLMANDELIC ACI,"50948-9",279
11912107,RPR (MONITOR) W/REFL TITER,RPR (MONITOR) W/REFL TITER (Q),,279
8689003,TRISOMY 21 (T21) T21 AGE BASED RISK,Q TRISOMY 21 (T21) T21 AGE BASED RISK,,279
11923150,TROPONIN T,TROPONIN T (LC),,279
226794,Ampicillin-sulbactam,Ampicillin-sulbactam MIC,,279
11923225,"HSV 1 AND 2 ANTIBODIES, IGM (CCH)","HSV, IGM I/II COMBINATION (LC)","41399-7",279
8688008,T13 PANORAMA RISK SCORE,Q T13 PANORAMA RISK SCORE,,279
8690004,MONOSOMY X (MX) MX AGE BASED RISK,Q MONOSOMY X (MX) MX AGE BASED RISK,,279
8687005,TRISOMY 13 (T13) T13 AGE BASED RISK,Q TRISOMY 13 (T13) T13 AGE BASED RISK,,279
8687010,MX COMMENTS,Q?MX COMMENTS,,279
8689008,MX PANORAMA RISK SCORE,Q?MX PANORAMA RISK SCORE,,279
8690008,T13 COMMENTS,Q?T13 COMMENTS,,279
8712003,T18 PANORAMA RISK SCORE,Q T18 PANORAMA RISK SCORE,,279
4862476,GABA Pentin Lvl,GABA Pentin Level,"9738-6",279
13709004,DTC Post PREP,DTC Cell Count Post Preparation,,279
8688004,TRISOMY 18 (T18) T18 AGE BASED RISK,Q TRISOMY 18 (T18) T18 AGE BASED RISK,,279
8690007,T21 COMMENTS,Q 21 COMMENTS,,279
8687008,T21 RESULT,Q?T21 RESULT,,279
8687009,T13 RESULT,Q T13 RESULT,,279
8689009,LIMITATIONS,Q LIMITATIONS,,279
230458,Urine Butabarbital,LEAN Urine Butabarbital,,278
171852,SAMPLE FOR RCORT,SAMPLE FOR RCORT,,278
233920,"Phenobarbital, Urine","LEAN Phenobarbital, Urine",,278
234510,"Butalbital, Urine","LEAN Butalbital, Urine",,278
159498,N-TELOPEPTIDE,C N-TELOPEPTIDE,"20624-3",278
166702,"TOXOPLASMA AB, IGM","C TOXOPLASMA AB, IGM","8040-8",278
229960,"Urine Amobarbital, 24 Hr","LEAN Urine Amobarbital, 24 Hr",,278
231332,"Pentobarbital, Urine","LEAN Pentobarbital, Urine",,278
18035280,RVOTDIA,DOP CALC RVOT DIAMETER,,278
8068005,"VITAMIN B1 (THIAMINE), LC/MS/MS","Q VITAMIN B1 (THIAMINE), LC/MS/MS",,278
8477007,HELICOBACTER PYLORI ANTIBODY IGG,C HELICOBACTER PYLORI ANTIBODY IGG,,278
4856511,Gliadin IgG,Gliadin IgG Antibody,"20496-6",278
235575,"24 Hr Urine Thiopental",LEAN 24 Hr Urine Thiopental,,278
18036281,RVOTA,DOP CALC RVOT AREA,,278
160461,"Q VZV AB IGM, EIA","Q VZV AB IGM, EIA","5404-9",278
11911769,INTERPRETATION,INTERPRETATION (Q),,278
165222,INSULIN ANTIBODY,C INSULIN ANTIBODY,"8074-7",278
235127,Secobarbital (USECOBARB),LEAN Secobarbital (USECOBARB),,278
18328003,UPHS CV RLVI DIAMETER SFJ,UPHS CV RLVI DIAMETER SFJ,,277
15460003,STR (BM % DONOR),BM % DONOR,,277
4862786,Normal Cell TP53 (% Cells),Normal Cell TP53 (% Cells),,277
4855845,PAP,Prostatic Acid Phosphatase,"20420-6",277
4867254,UMAG mg per dL,Ur Magnesium,"24447-5",277
4855416,Eos Count,Eosinophil Count,"711-2",277
8020174,PROMYELOCYTES,Q PROMYELOCYTES,,276
8482005,HLA C1AG,HLA C1AG,,276
8788009,T18 RESULT,Q T18 RESULT,,276
232701,IRGFIS,UNKNOWN item template,,276
11917936,TESTOSTERONE,"TESTOSTERONE, TOTAL, LC/MS (LC)",,276
8021144,METAMYELOCYTES,Q METAMYELOCYTES,,276
230469,PAP(Cerv/Endocerv/Vag/Vulva),LEAN PAP(Cerv/Endocerv/Vag/Vulva),,276
11842087,DRVVT CONFIRMATION,DRVVT CONFIRMATION,"6303-2",276
4856548,Hep C Virus Geno,Hepatitis C Genotype,"32286-7",276
10812007,Purkinje/NNA scr IgG,Purkinje Cell/Neuronal Nuclear IgG Scrn,,276
11843088,DRVVT 1TO1 MIX,DRVVT 1:1 MIX,"50410-0",276
235148,.Kidney Scan Vascular Flow/Function,Kidney Scan Vascular Flow/Function,,275
11841087,DRVVT SCREEN,DRVVT SCREEN,"57838-5",275
17490004,TEG ADP INH PM,TEG ADP INH PM,"52778-8",275
1413030,ENGLISH PLANTAIN (W9) IGE,Q ENGLISH PLANTAIN *,"6110-1",275
227784,Tetracycline MIC,Tetracycline MIC,,275
231828,"8000060",UNKNOWN item template,,275
17488014,TEG ADP G PM,TEG ADP G PM,"66751-9",275
17492012,TEG AA MA PM,TEG AA MA PM,"52778-8",275
17491019,TEG AA INH PM,TEG AA INH PM,"52778-8",275
18330003,UPHS CV RLVI DIAMETER GSV PROX CALF,UPHS CV RLVI DIAMETER GSV PROX CALF,,275
11917742,BETA STREP GP A CULTURE,BETA STREP GP A CULTURE (LC),,275
230468,.Transcatheter Pharmaceut Embolization,Transcatheter Pharmaceut Embolization,,275
17491024,TEG AA G PM,TEG AA G PM,"66751-9",275
5154008,D-DIMER ULTRASENSITIVE,C D-DIMER ULTRASENSITIVE,,275
232000,"(1,25)OH VitaminD","LEAN (1,25)OH VitaminD",,275
159906,QUESTION/PROBLEM,QUESTION/PROBLEM 1,,274
11921653,AG METHOD,METHODOLOGY (LC),,274
2632001,MUCOR RACEMOSUS (M4) IGE,Q MUCOR RACEMOSUS (M4) IGE,,274
18037286,MVCDIA,MV COMP DIAMETER,,274
11922706,HCG SERUM,"HCG,BETA SUBUNIT,QUAL,SERUM (LC)",,274
1407029,Q CLASS,Q CLASS,"15952-5",274
4861118,Asper Ab by ID,Aspergillus Ab by ID,"5052-6",274
17491018,TEG Angle PM,TEG Angle PM,"66748-5",274
163890,URINE MAGNESIUM MG/D,URINE MAGNESIUM MG/D,,274
17489004,TEG GG PM,TEG GG PM,"66751-9",274
17492003,TEG R Value PM,TEG R Value PM,"52789-5",274
17489005,TEG MA PM,TEG MA PM,"52778-8",274
18036289,AVCA,AV COMP AREA,,274
17492013,TEG ADP MA PM,TEG ADP MA PM,"52778-8",274
11841153,HEPATITIS B SURFACE ANTIGEN,HEPATITIS B SURFACE ANTIGEN (CCH),"51659-1",274
17492011,TEG Split Point PM,TEG Split Point PM,,274
17492016,TEG A MA PM,TEG A MA PM,"52778-8",274
639008,URINE PROTEIN/CREATININE MG/MG,URINE PROTEIN/CREATININE MG/MG,"2890-3",274
4869234,U24 Magnesium,Urine 24 Hour Magnesium,"24447-5",273
17487016,TEG LY30 PM,TEG LY30 PM,"66745-1",273
3378004,RHIZOPUS NIGRICANS (M11) IGE,Q RHIZOPUS NIGRICANS (M11) IGE,,273
17491012,TEG K Value PM,TEG K Value PM,"52768-9",273
18038076,LPROFPSV,LEFT PROFUNDA SYS PSV,,273
160035,C COMMENT,Q C COMMENT,,273
11841207,IMMUNOGLOBULIN E,IMMUNOGLOBULIN E (CCH),"19113-0",273
165450,CRYSTALS,Q CRYSTALS,"38459-4",273
171817,BCR/ABL QUANT,C BCR/ABL QUANT,"55147-3",272
228224,.Indirect Bilirubin,Indirect Bilirubin,,272
235450,Gastric Emptying Study HUP,Gastric Emptying Study HUP,,272
11736009,MGMT REPORT,MGMT REPORT,,272
11843203,HCV RNA QUANT PCR INTERP,HCV RNA QUANT PCR INTERP (CCH),"11259-9",272
2031002,CARCINOEMBRYONIC ANTIGEN BODY FLUID,C CARCINOEMBRYONIC ANTIGEN BODY FLUID,"12515-3",272
4863295,Vitamin B2,Vitamin B2 Level,"49038-3",272
4927012,LV EJECTION FRACTION 4C AL,LV EJECTION FRACTION 4C AL,,272
15004004,nrSR Prep,Slide Review PREP (Non Reportable),,272
1411123,DNA MUTATION ANALYSIS,Q DNA MUTATION ANALYSIS,,271
13706003,DTC Volume Info,DTC Volume Information,,271
17501012,TEG PLT MAPPING HEPARINASE AA INHIBITION,TEG AA INH PM,"52778-8",271
159449,URINE MAGNESIUM G/TV,URINE MAGNESIUM G/TV,,271
17500012,TEG PLT MAPPING HEPARINASE ADP INHIBITION,TEG ADP INH PM,"52778-8",271
2034003,"BODY FLUID TYPE, CEA","C BODY FLUID TYPE, CEA","14725-6",271
235654,Dialysis Shunt (Radiology) HUP,Dialysis Shunt (Radiology) HUP,,271
17499012,TEG PLT MAPPING HEPARINASE AA G,TEG AA G PM,"66751-9",271
4862548,Heptacarboxy,Ur Heptacarboxylate,"38175-6",271
171851,IVC CORTISOL,C IVC CORTISOL,,271
1548001,"ALK PHOS, TOTAL","Q ALKALINE PHOSPHATASE (ALK PHOS) TOTAL, ELECTROPHORESIS","6768-6",271
11918688,ALBUMIN URINE,"ALBUMIN, U (LC)",,271
163311,SP SOURCE,SP SOURCE,,271
11841204,HCV (IU),HCV (IU) (CCH),"38180-6",271
167324,OSMOLALITY URINE,Q OSMOLALITY (U),"2695-5",271
17504012,TEG PLT MAPPING HEPARINASE ADP MA,TEG ADP MA PM,"52778-8",271
17502012,TEG PLT MAPPING HEPARINASE ADP G,TEG ADP G PM,"66751-9",271
17503012,TEG PLT MAPPING HEPARINASE AA MA,TEG AA MA PM,"52778-8",271
17501011,TEG PLT MAPPING HEPARINASE A MA,TEG A MA  PM,"52778-8",271
239521,Electrophoresis Protein Urine,Protein Electrophoresis Urine PAH,,270
227275,Fats Total,Fats Total,,270
11924730,LACOSAMIDE,LACOSAMIDE (LC),,270
1409129,SEROTYPE 56 (18C),Q SEROTYPE 56 (18C),,270
11841326,"HOMOCYSTEINE, TOTAL","HOMOCYSTEINE, TOTAL (CCH)","13965-9",270
11911113,BETA-2-MICROGLOBULIN,BETA-2-MICROGLOBULIN  (Q),,270
239489,.Alphafetoprotein-Tumor Marker,Alphafetoprotein-Tumor Marker PAH,,270
10723011,Promonocyte Man,Promonocyte Manual,,270
226275,Fats Neutral,Fats Netutral,,270
17503011,TEG PLT MAPPING HEPARINASE GG,TEG GG PM,"66751-9",269
17501010,TEG PLT MAPPING HEPARINASE R VALUE,TEG R VALUE PM,"52789-5",269
464002,"Q HSV 1 IGG, HERPESELECT TYPE SPECIFIC AB","Q HSV 1 IGG, HERPESELECT TYPE SPECIFIC AB","5206-8",269
4860118,aspartic acid,aspartic acid,"20639-1",269
17502011,TEG PLT MAPPING HEPARINASE ANGLE,TEG ANGLE PM,"66748-5",269
11912704,SEX HORMONE BINDING GLOBULIN,SEX HORMONE BINDING GLOBULIN (Q),,269
11923738,CHROMOSOME 21 RESULT,CHROMOSOME 21 RESULT (LC),,269
4858186,Brucella IgM,Brucella IgM,"5070-8",269
233940,Micro Mole ID,LEAN Micro Mole ID,,269
17499010,TEG PLT MAPPING HEPARINASE SPLIT POINT,TEG SPLIT POINT PM,,269
11920736,CHROMOSOME 13 RESULT,CHROMOSOME 13 RESULT (LC),,269
11925737,CHROMOSOME 18 RESULT,CHROMOSOME 18 RESULT (LC),,269
17500011,TEG PLT MAPPING HEPARINASE MA,TEG MA PM,"52778-8",269
11845400,"SERINE PROTEASE 3, IGG","SERINE PROTEASE 3, IGG (CCH)","6968-2",269
233567,Perc Place Gastrst Tube HUP,Perc Place Gastrst Tube HUP,,268
226050,CSF Tube No. (Sero),CSF Tube No. (Sero) (prompt),,268
17499011,TEG PLT MAPPING HEPARINASE LY30,TEG LY30 PM,"66745-1",268
11912393,PROSTATE SPECIFIC ANTIGEN TOTAL,"PSA, TOTAL (Q)","2857-1",268
3442002,SWEET GUM (T211) IGE,Q SWEET GUM (T211) IGE,,268
11845236,ANGIOTENSIN CONVERTING ENZYME,ANGIOTENSIN CONVERTING ENZYME (CCH),"2742-5",268
4862186,Brucella IgG,Brucella IgG,"13210-0",268
4858339,Cyto Interp,Cytochemistry Stain Interpretation,"69965-2",267
3127004,FUSARIUM MONILIFORME (M9) IGE,Q FUSARIUM MONILIFORME (M9) IGE,,267
4865275,UrPorphyrin Int,Ur Porphyrin Interpretation,"49292-6",267
18328004,UPHS CV RLVI DIAMETER GSV CALF,UPHS CV RLVI DIAMETER GSV CALF,,267
4866275,Ur Porphyrins,Ur Porphyrins,"32043-2",267
160515,"EPINEPHRINE, 24 HR URINE","Q EPINEPHRINE, 24 HR URINE","2232-7",267
1132005,SHRIMP (F24) IGE,Q SHRIMP (F24) IGE,,267
17504011,TEG PLT MAPPING HEPARINASE K VALUE,TEG K VALUE PM,"52768-9",267
335010,ABN TEST REFUSED,ABN TEST REFUSED,,267
11923218,LIVER-KIDNEY MICROSOMAL AB,LIVER-KIDNEY MICROSOMAL AB (LC),,266
11919651,TPMT ACTIVITY,TPMT ACTIVITY (LC),,266
559002,EBV QUANT SOURCE,EBV QUANT SOURCE,,266
1871003,WILLOW (T12) IGE,Q WILLOW (T12) IGE,,266
7968003,C MULTISPOT INTERP,C MULTISPOT INTERP,"69048-7",266
231430,Lymph Node Scan HUP,Lymph Node Scan HUP,,266
239590,Misc Send Out (100),MCODES_Misc Send Out (100) LIO,,266
3375004,AUREOBASIDIUM PULLULANS (M12) IGE,Q AUREOBASIDIUM PULLULANS (M12) IGE,,265
11924831,FATS NEUTRAL,"FATS, NEUTRAL (LC)",,265
231442,CT Soft Tissue Neck with Contrast PMC,CT Soft Tissue Neck with Contrast PMC,,265
11921753,LOG10 HBV IU/ML,LOG10 HBV IU/ML (LC),,265
4856267,Chrom Bone Marr,Chromo Bone Marrow,"50659-2",265
11918826,FATS TOTAL,"FATS, TOTAL (LC)",,265
13709005,DTC Pre PREP,DTC Cell Count Pre Preparation,,265
11925655,INTERPRETATION,INTERPRETATION: (LC),,265
11921775,G002-IGE BERMUDA GRASS,G002-IGE BERMUDA GRASS (LC),,265
11917000,"DOPAMINE, PL","DOPAMINE, PL (LC)",,265
13644022,CDIF TOXIN B PCR,CDIF TOXIN B PCR,"54067-4",264
11919000,"NOREPINEPHRINE, PL","NOREPINEPHRINE, PL (LC)",,264
11923007,"EPINEPHRINE, PL","EPINEPHRINE, PL (LC)",,264
11916758,BILIRUBIN INDIRECT,"BILIRUBIN, INDIRECT (LC)",,264
11914426,MICROALBUMIN CREATININE RATIO URINE,"MICROALBUMIN/CREATININE RATIO, RANDOM URINE (Q)",,264
230859,.Abscess Culture,Abscess Culture PAH,,263
228341,Albumin/Globulin,MCODES_Albumin/Globulin Result,,263
4859116,Ashk Jew Pnl,Ashkenazi Jewish Panel,"51968-6",263
227233,Globulin,MCODES_Globulin Result,,263
171080,ALKALINE DENATURATIO,C ALKALINE DENATURATIO,,263
12432010,HYPERSEGMENTATION,HYPERSEGMENTATION (CCH),,263
11924694,"GAMMA GLOBULIN, U","GAMMA GLOBULIN, U (LC)",,263
8982006,OP PT EVALUATION - SEATING AND MOBILITY,OP PT EVALUATION - SEATING AND MOBILITY,,263
228084,Misc Test (100),Misc Test (100) (prompt),,263
11923783,"T006-IGE CEDAR, MOUNTAIN","T006-IGE CEDAR, MOUNTAIN (LC)",,263
4862047,ACHr Mod Ab,Acetylcholine Receptor Modulating Antibody,"30192-9",263
4870221,TSDNA,Tay-Sachs Mutation Analysis,"35472-0",263
11918689,"M-SPIKE, %","M-SPIKE, % (LC)",,263
4269006,IMMUNOGLOBULINS A,"C IMMUNOGLOBULIN A, SERUM","2458-8",263
561002,EBV QNTLOG,EBV DNA QN PCR LOG,"53774-6",263
5050003,INHIBIN B,C INHIBIN B,"34319-4",263
3133004,PHOMA BETAE (M13) IGE,Q PHOMA BETAE (M13) IGE,,262
11922696,"ALPHA-2-GLOBULIN, U","ALPHA-2-GLOBULIN, U (LC)",,262
11917693,"ALPHA-1-GLOBULIN, U","ALPHA-1-GLOBULIN, U (LC)",,262
171823,"NOREPINEPHRINE, 24 HR UR","Q NOREPINEPHRINE, 24 HR UR","2668-2",262
227081,Misc Lab (100),Misc Lab (100) (prompt),,262
160516,"DOPAMINE, 24 HR URINE","Q DOPAMINE, 24 HR URINE","2218-6",262
11921780,T010-IGE WALNUT,T010-IGE WALNUT (LC),,261
