value,count,OBO,status,molent,ion,specimen,specimen_OBO,units,other details,indirect,direct,notes,24,POC,total
LEFT DISTAL CCA DIASTOLE,24,,,,,,,,,,,,#VALUE!,,
LEFT DISTAL CCA SYSTOLE,24,,,,,,,,,,,,#VALUE!,,
LEFT DISTAL ICA DIASTOLE,24,,,,,,,,,,,,#VALUE!,,
LEFT DISTAL ICA SYSTOLE,24,,,,,,,,,,,,#VALUE!,,
LEFT ECA SYSTOLE,24,,,,,,,,,,,,#VALUE!,,
LEFT ICA CCA RATIO SYSTOLE,24,,,,,,,,,,,,#VALUE!,,
LEFT MID CCA DIASTOLE,24,,,,,,,,,,,,#VALUE!,,
LEFT MID CCA SYSTOLE,24,,,,,,,,,,,,#VALUE!,,
LEFT MID ICA DIASTOLE,24,,,,,,,,,,,,#VALUE!,,
LEFT MID ICA SYSTOLE,24,,,,,,,,,,,,#VALUE!,,
LEFT PROXIMAL CCA DIASTOLE,24,,,,,,,,,,,,#VALUE!,,
LEFT PROXIMAL CCA SYSTOLE,24,,,,,,,,,,,,#VALUE!,,
LEFT PROXIMAL ICA DIASTOLE,24,,,,,,,,,,,,#VALUE!,,
LEFT PROXIMAL ICA SYSTOLE,24,,,,,,,,,,,,#VALUE!,,
PSA,24,,,,,,,,,,,,#VALUE!,,
RIGHT DISTAL CCA DIASTOLE,24,,,,,,,,,,,,#VALUE!,,
RIGHT DISTAL CCA SYSTOLE,24,,,,,,,,,,,,#VALUE!,,
RIGHT ECA SYSTOLE,24,,,,,,,,,,,,#VALUE!,,
RIGHT MID CCA SYSTOLE,24,,,,,,,,,,,,#VALUE!,,
RIGHT PROXIMAL CCA SYSTOLE,24,,,,,,,,,,,,#VALUE!,,
Amylase Lvl,23,,,,,,,,,,,,#VALUE!,,
Calculated Granulocytes,23,,,,,,,,,,,,#VALUE!,,
Calculated Lymphs,23,,,,,,,,,,,,#VALUE!,,
Calculated Mononuclears,23,,,,,,,,,,,,#VALUE!,,
CK MB,23,,,,,,,,,,,,#VALUE!,,
International Normalized Units,23,,,,,,,,,,,,#VALUE!,,
Prothrombin Time,23,,,,,,,,,,,,#VALUE!,,
RIGHT MID CCA DIASTOLE,23,,,,,,,,,,,,#VALUE!,,
RIGHT PROXIMAL CCA DIASTOLE,23,,,,,,,,,,,,#VALUE!,,
STUDY DATE,23,,,,,,,,,,,,#VALUE!,,
D-Dimer,22,,,,,,,,,,,,#VALUE!,,
EGFR NON AFRICAN AMERICAN,22,,,,,,,,,,,,#VALUE!,,
Troponin-I,22,,,,,,,,,,,,#VALUE!,,
% Retic,21,,,,,,,,,,,,#VALUE!,,
Alkaline Phosphatase,21,,,,,,,,,,,,#VALUE!,,
PRO BNP N TERMINAL,21,,,,,,,,,,,,#VALUE!,,
TRANSFERRIN,21,,,,,,,,,,,,#VALUE!,,
APTT,20,,,,,,,,,,,,#VALUE!,,
T3 UPTAKE,20,,,,,,,,,,,,#VALUE!,,
Basophil BF,19,,,,,,,,,,,,#VALUE!,,
Eos BF,19,,,,,,,,,,,,#VALUE!,,
FREE THYROXINE INDEX,19,,,,,,,,,,,,#VALUE!,,
ICD CODES,19,,,,,,,,,,,,#VALUE!,,
LEFT BRACHIAL SYS BP,19,,,,,,,,,,,,#VALUE!,,
Lymph BF,19,,,,,,,,,,,,#VALUE!,,
Macrophages BF,19,,,,,,,,,,,,#VALUE!,,
Meso BF,19,,,,,,,,,,,,#VALUE!,,
Monocyte BF,19,,,,,,,,,,,,#VALUE!,,
Other BF,19,,,,,,,,,,,,#VALUE!,,
RBC BF,19,,,,,,,,,,,,#VALUE!,,
Segs BF,19,,,,,,,,,,,,#VALUE!,,
TRANSFERRIN SATURATION,19,,,,,,,,,,,,#VALUE!,,
Tube Number BF,19,,,,,,,,,,,,#VALUE!,,
WBC BF,19,,,,,,,,,,,,#VALUE!,,
Calcium,18,,,,,,,,,,,,#VALUE!,,
CHOLESTEROL NON HDL,18,,,,,,,,,,,,#VALUE!,,
LEFT BRACHIAL DIAS BP,18,,,,,,,,,,,,#VALUE!,,
RIGHT DISTAL ICA DIASTOLE,18,,,,,,,,,,,,#VALUE!,,
RIGHT DISTAL ICA SYSTOLE,18,,,,,,,,,,,,#VALUE!,,
RIGHT ICA CCA RATIO SYSTOLE,18,,,,,,,,,,,,#VALUE!,,
RIGHT MID ICA DIASTOLE,18,,,,,,,,,,,,#VALUE!,,
RIGHT MID ICA SYSTOLE,18,,,,,,,,,,,,#VALUE!,,
RIGHT PROXIMAL ICA DIASTOLE,18,,,,,,,,,,,,#VALUE!,,
RIGHT PROXIMAL ICA SYSTOLE,18,,,,,,,,,,,,#VALUE!,,
CHOLESTEROL HDL RATIO,17,,,,,,,,,,,,#VALUE!,,
Magnesium Level,17,,,,,,,,,,,,#VALUE!,,
RIGHT BRACHIAL DIAS BP,17,,,,,,,,,,,,#VALUE!,,
RIGHT BRACHIAL SYS BP,17,,,,,,,,,,,,#VALUE!,,
SEDIMENTATION RATE,17,,,,,,,,,,,,#VALUE!,,
CARCINOEMBRYONIC ANTIGEN,16,,,,,,,,,,,,#VALUE!,,
CEA,16,,,,,,,,,,,,#VALUE!,,
MAGNESIUM,16,,,,,,,,,,,,#VALUE!,,
Meta Man,16,,,,,,,,,,,,#VALUE!,,
PARATHYROID HORMONE INTACT,16,,,,,,,,,,,,#VALUE!,,
Tacrolimus Level,16,,,,,,,,,,,,#VALUE!,,
# IMMATURE GRANULOCYTES,15,,,,,,,,,,,,#VALUE!,,
% IMMATURE GRANULOCYTES,15,,,,,,,,,,,,#VALUE!,,
Abs Retic,15,,,,,,,,,,,,#VALUE!,,
ANC MANUAL DIFF,15,,,,,,,,,,,,#VALUE!,,
nrBasophil BF,15,,,,,,,,,,,,#VALUE!,,
nrEos BF,15,,,,,,,,,,,,#VALUE!,,
nrLymph BF,15,,,,,,,,,,,,#VALUE!,,
nrMacrophages BF,15,,,,,,,,,,,,#VALUE!,,
nrMeso BF,15,,,,,,,,,,,,#VALUE!,,
nrMonocyte BF,15,,,,,,,,,,,,#VALUE!,,
nrOther BF,15,,,,,,,,,,,,#VALUE!,,
nrSeg BF,15,,,,,,,,,,,,#VALUE!,,
Phosphate,15,,,,,,,,,,,,#VALUE!,,
REL INDEX,15,,,,,,,,,,,,#VALUE!,,
UA PROTEIN,15,,,,,,,,,,,,#VALUE!,,
FREE T4,14,,,,,,,,,,,,#VALUE!,,
MEGAKARYOCYTE,14,,,,,,,,,,,,#VALUE!,,
RIGHT ATRIAL PRESSURE,14,,,,,,,,,,,,#VALUE!,,
UUN mg per dL,14,,,,,,,,,,,,#VALUE!,,
Alpha 1 Glob,13,,,,,,,,,,,,#VALUE!,,
Alpha 2 Glob,13,,,,,,,,,,,,#VALUE!,,
Beta Glob,13,,,,,,,,,,,,#VALUE!,,
Gamma Glob,13,,,,,,,,,,,,#VALUE!,,
LIPASE,13,,,,,,,,,,,,#VALUE!,,
RETRIEVAL OF % LY FOR,13,,,,,,,,,,,,#VALUE!,,
RETRIEVAL OF WBC FOR,13,,,,,,,,,,,,#VALUE!,,
SPIFE ALB,13,,,,,,,,,,,,#VALUE!,,
BSA,12,,,,,,,,,,,,#VALUE!,,
HIGH SENSITIVITY CRP,12,,,,,,,,,,,,#VALUE!,,
IgA,12,,,,,,,,,,,,#VALUE!,,
IgG Qnt,12,,,,,,,,,,,,#VALUE!,,
IgM,12,,,,,,,,,,,,#VALUE!,,
BODY TEMPERATURE,11,,,,,,,,,,,,#VALUE!,,
O2 SAT,11,,,,,,,,,,,,#VALUE!,,
Absolute Baso Count(ABC),10,,,,,,,,,,,,#VALUE!,,
Absolute EOS Count (AEC),10,,,,,,,,,,,,#VALUE!,,
Absolute Lymp Count(ALC),10,,,,,,,,,,,,#VALUE!,,
Absolute mono Count(AMC),10,,,,,,,,,,,,#VALUE!,,
Absolute Neut Count (ANC),10,,,,,,,,,,,,#VALUE!,,
ACT,10,,,,,,,,,,,,#VALUE!,,
CK-MB Relative Index,10,,,,,,,,,,,,#VALUE!,,
CK-MB Result,10,,,,,,,,,,,,#VALUE!,,
Fax Number,10,,,,,,,,,,,,#VALUE!,,
METHEMOGLOBIN,10,,,,,,,,,,,,#VALUE!,,
Tacrolimus  Dose 1,10,,,,,,,,,,,,#VALUE!,,
Tacrolimus Dose 2,10,,,,,,,,,,,,#VALUE!,,
25 HYDROXY VITAMIN D2,9,,,,,,,,,,,,#VALUE!,,
25 HYDROXY VITAMIN D3,9,,,,,,,,,,,,#VALUE!,,
Amylase,9,,,,,,,,,,,,#VALUE!,,
HHV-4.(dsDNA) (Log Quant),9,,,,,,,,,,,,#VALUE!,,
HHV-4.(dsDNA) (Quant),9,,,,,,,,,,,,#VALUE!,,
Lactic Acid,9,,,,,,,,,,,,#VALUE!,,
LDH BF,9,,,,,,,,,,,,#VALUE!,,
RV % PRED,9,,,,,,,,,,,,#VALUE!,,
RV ACTUAL,9,,,,,,,,,,,,#VALUE!,,
TLC % PRED,9,,,,,,,,,,,,#VALUE!,,
TLC ACTUAL,9,,,,,,,,,,,,#VALUE!,,
%FiO2,8,,,,,,,,,,,,#VALUE!,,
Asper. Index,8,,,,,,,,,,,,#VALUE!,,
DLCO % PRED,8,,,,,,,,,,,,#VALUE!,,
DLCO ACTUAL,8,,,,,,,,,,,,#VALUE!,,
Lipase,8,,,,,,,,,,,,#VALUE!,,
pH (UA),8,,,,,,,,,,,,#VALUE!,,
PROSTATE SPECIFIC ANTIGEN ULTRASENSITIVE,8,,,,,,,,,,,,#VALUE!,,
Protein BF,8,,,,,,,,,,,,#VALUE!,,
UA Ketones,8,,,,,,,,,,,,#VALUE!,,
% Lymph,7,,,,,,,,,,,,#VALUE!,,
% Monos,7,,,,,,,,,,,,#VALUE!,,
% Segs,7,,,,,,,,,,,,#VALUE!,,
ASINDEX,7,,,,,,,,,,,,#VALUE!,,
ASVALSALVA,7,,,,,,,,,,,,#VALUE!,,
AVG,7,,,,,,,,,,,,#VALUE!,,
AVICA,7,,,,,,,,,,,,#VALUE!,,
B/A1 RATIO,7,,,,,,,,,,,,#VALUE!,,
Bands (ABAND),7,,,,,,,,,,,,#VALUE!,,
CMV IgG,7,,,,,,,,,,,,#VALUE!,,
CPRA Class II,7,,,,,,,,,,,,#VALUE!,,
EBV IgG Capsid,7,,,,,,,,,,,,#VALUE!,,
FS,7,,,,,,,,,,,,#VALUE!,,
GGT,7,,,,,,,,,,,,#VALUE!,,
IVS,7,,,,,,,,,,,,#VALUE!,,
LAVOL,7,,,,,,,,,,,,#VALUE!,,
LAVOLIN,7,,,,,,,,,,,,#VALUE!,,
LDCA,7,,,,,,,,,,,,#VALUE!,,
LVIDD,7,,,,,,,,,,,,#VALUE!,,
LVIDDI,7,,,,,,,,,,,,#VALUE!,,
LVIDS,7,,,,,,,,,,,,#VALUE!,,
LVMASS,7,,,,,,,,,,,,#VALUE!,,
LVMASSIN,7,,,,,,,,,,,,#VALUE!,,
LVOTD,7,,,,,,,,,,,,#VALUE!,,
Lymphs (ALYMPH),7,,,,,,,,,,,,#VALUE!,,
Lyvar (ALYVAR),7,,,,,,,,,,,,#VALUE!,,
Monos (AMONO),7,,,,,,,,,,,,#VALUE!,,
MVCA,7,,,,,,,,,,,,#VALUE!,,
MVICA,7,,,,,,,,,,,,#VALUE!,,
PW,7,,,,,,,,,,,,#VALUE!,,
Segs (ASEG),7,,,,,,,,,,,,#VALUE!,,
Specific Gravity,7,,,,,,,,,,,,#VALUE!,,
TR PEAK GRADIENT,7,,,,,,,,,,,,#VALUE!,,
TRVMAX,7,,,,,,,,,,,,#VALUE!,,
UCR G per TV,7,,,,,,,,,,,,#VALUE!,,
ZLVIDD,7,,,,,,,,,,,,#VALUE!,,
ZLVIDS,7,,,,,,,,,,,,#VALUE!,,
AHG-IgG,6,,,,,,,,,,,,#VALUE!,,
AOPROX,6,,,,,,,,,,,,#VALUE!,,
AOPV,6,,,,,,,,,,,,#VALUE!,,
AOVTI,6,,,,,,,,,,,,#VALUE!,,
APINDEX,6,,,,,,,,,,,,#VALUE!,,
AV DIMENSIONLESS VALVE INDEX,6,,,,,,,,,,,,#VALUE!,,
AVA,6,,,,,,,,,,,,#VALUE!,,
AVCE,6,,,,,,,,,,,,#VALUE!,,
AVICSV,6,,,,,,,,,,,,#VALUE!,,
AVPG,6,,,,,,,,,,,,#VALUE!,,
AVSVI,6,,,,,,,,,,,,#VALUE!,,
AVVELRATIO,6,,,,,,,,,,,,#VALUE!,,
C3,6,,,,,,,,,,,,#VALUE!,,
C3 CC,6,,,,,,,,,,,,#VALUE!,,
Control,6,,,,,,,,,,,,#VALUE!,,
E/E' LATERAL,6,,,,,,,,,,,,#VALUE!,,
E/E' SEPTAL,6,,,,,,,,,,,,#VALUE!,,
EAR,6,,,,,,,,,,,,#VALUE!,,
EERAT,6,,,,,,,,,,,,#VALUE!,,
EWDT,6,,,,,,,,,,,,#VALUE!,,
LASIZE,6,,,,,,,,,,,,#VALUE!,,
LV E' LATERAL VELOCITY,6,,,,,,,,,,,,#VALUE!,,
LV E' SEPTAL VELOCITY,6,,,,,,,,,,,,#VALUE!,,
LVOTPV,6,,,,,,,,,,,,#VALUE!,,
LVOTSV,6,,,,,,,,,,,,#VALUE!,,
LVOTVTI,6,,,,,,,,,,,,#VALUE!,,
MVAP,6,,,,,,,,,,,,#VALUE!,,
MVPKAVEL,6,,,,,,,,,,,,#VALUE!,,
MVPKEVEL,6,,,,,,,,,,,,#VALUE!,,
MVSPHT,6,,,,,,,,,,,,#VALUE!,,
RAP,6,,,,,,,,,,,,#VALUE!,,
TAPSE,6,,,,,,,,,,,,#VALUE!,,
TRPKVEL,6,,,,,,,,,,,,#VALUE!,,
TVRPAP,6,,,,,,,,,,,,#VALUE!,,
Urobilinogen,6,,,,,,,,,,,,#VALUE!,,
WBC Corrected,6,,,,,,,,,,,,#VALUE!,,
% Bands,5,,,,,,,,,,,,#VALUE!,,
% FIO2,5,,,,,,,,,,,,#VALUE!,,
% METAMYELOCYTES,5,,,,,,,,,,,,#VALUE!,,
Ammonia,5,,,,,,,,,,,,#VALUE!,,
Beta-OH butyrate,5,,,,,,,,,,,,#VALUE!,,
CELLS COUNTED,5,,,,,,,,,,,,#VALUE!,,
EBV ANA,5,,,,,,,,,,,,#VALUE!,,
EBV Early Ab,5,,,,,,,,,,,,#VALUE!,,
EBV IgM Capsid,5,,,,,,,,,,,,#VALUE!,,
HCV (COPIES/ML),5,,,,,,,,,,,,#VALUE!,,
HCV.(ssRNA) (IU/mL),5,,,,,,,,,,,,#VALUE!,,
HCV.(ssRNA) (Log),5,,,,,,,,,,,,#VALUE!,,
HIV-1.(ssRNA) (Log),5,,,,,,,,,,,,#VALUE!,,
LOG HCV (COPIES/ML),5,,,,,,,,,,,,#VALUE!,,
LVOT PG,5,,,,,,,,,,,,#VALUE!,,
Plasma Cell Man,5,,,,,,,,,,,,#VALUE!,,
SPG BACKUP,5,,,,,,,,,,,,#VALUE!,,
Tobra Pk,5,,,,,,,,,,,,#VALUE!,,
TOBRAMYCIN TROUGH,5,,,,,,,,,,,,#VALUE!,,
Ur Microalbumin,5,,,,,,,,,,,,#VALUE!,,
VLDL/TRIGLYCERIDE RATIO,5,,,,,,,,,,,,#VALUE!,,
% MYELOCYTES,4,,,,,,,,,,,,#VALUE!,,
AHG-IgG CC,4,,,,,,,,,,,,#VALUE!,,
Albumin BF,4,,,,,,,,,,,,#VALUE!,,
ALPHA-1-GLOBULINS,4,,,,,,,,,,,,#VALUE!,,
ALPHA-2-CLOBULINS,4,,,,,,,,,,,,#VALUE!,,
BETA GLOBULINS,4,,,,,,,,,,,,#VALUE!,,
C BETA HYDROXYBUTERIC ACID,4,,,,,,,,,,,,#VALUE!,,
C Reactive Protein,4,,,,,,,,,,,,#VALUE!,,
C4 Complement,4,,,,,,,,,,,,#VALUE!,,
Chol BF,4,,,,,,,,,,,,#VALUE!,,
CHOLESTEROL VERY LOW DENSITY LIPOPROTEIN CALCULATE,4,,,,,,,,,,,,#VALUE!,,
ECHOEF,4,,,,,,,,,,,,#VALUE!,,
FibroMeter Platelet Count,4,,,,,,,,,,,,#VALUE!,,
GAMMA GLOBULINS,4,,,,,,,,,,,,#VALUE!,,
HBCAb-R,4,,,,,,,,,,,,#VALUE!,,
HBSAg-R,4,,,,,,,,,,,,#VALUE!,,
HCV-R,4,,,,,,,,,,,,#VALUE!,,
HIV-R,4,,,,,,,,,,,,#VALUE!,,
K:L Ratio,4,,,,,,,,,,,,#VALUE!,,
Kappa FLC,4,,,,,,,,,,,,#VALUE!,,
L:K Ratio,4,,,,,,,,,,,,#VALUE!,,
LOG10 EBV DNA QN PCR,4,,,,,,,,,,,,#VALUE!,,
LVSYSVOL,4,,,,,,,,,,,,#VALUE!,,
LVSYSVOLIN,4,,,,,,,,,,,,#VALUE!,,
nrUA Crystals,4,,,,,,,,,,,,#VALUE!,,
nrUA Others,4,,,,,,,,,,,,#VALUE!,,
nrUA Path casts,4,,,,,,,,,,,,#VALUE!,,
nrUA SRC,4,,,,,,,,,,,,#VALUE!,,
nrUA YLC,4,,,,,,,,,,,,#VALUE!,,
pH BF,4,,,,,,,,,,,,#VALUE!,,
RBC CSF1,4,,,,,,,,,,,,#VALUE!,,
Ref Lab Number,4,,,,,,,,,,,,#VALUE!,,
RT,4,,,,,,,,,,,,#VALUE!,,
RVOT MG,4,,,,,,,,,,,,#VALUE!,,
RVOT PG,4,,,,,,,,,,,,#VALUE!,,
RVOTPV,4,,,,,,,,,,,,#VALUE!,,
RVOTVTI,4,,,,,,,,,,,,#VALUE!,,
T3 Free,4,,,,,,,,,,,,#VALUE!,,
Tobra Tr,4,,,,,,,,,,,,#VALUE!,,
Tube Num CSF1,4,,,,,,,,,,,,#VALUE!,,
"Tube# CSF, TP",4,,,,,,,,,,,,#VALUE!,,
WBC CSF1,4,,,,,,,,,,,,#VALUE!,,
% Eos,3,,,,,,,,,,,,#VALUE!,,
% Free,3,,,,,,,,,,,,#VALUE!,,
2DEF,3,,,,,,,,,,,,#VALUE!,,
Anti-D,3,,,,,,,,,,,,#VALUE!,,
Base Excess.,3,,,,,,,,,,,,#VALUE!,,
Cardiolipin IgG,3,,,,,,,,,,,,#VALUE!,,
Cardiolipin IgM,3,,,,,,,,,,,,#VALUE!,,
CPRA Class I,3,,,,,,,,,,,,#VALUE!,,
D DIMER,3,,,,,,,,,,,,#VALUE!,,
DRVVP,3,,,,,,,,,,,,#VALUE!,,
Erythropoiet Lvl,3,,,,,,,,,,,,#VALUE!,,
FIBRINOGEN,3,,,,,,,,,,,,#VALUE!,,
Fluid Tube #,3,,,,,,,,,,,,#VALUE!,,
FREE T3,3,,,,,,,,,,,,#VALUE!,,
FREE TESTOSTERONE (PENN),3,,,,,,,,,,,,#VALUE!,,
HCO3.,3,,,,,,,,,,,,#VALUE!,,
Hematocrit,3,,,,,,,,,,,,#VALUE!,,
Hemoglobin.,3,,,,,,,,,,,,#VALUE!,,
Hep Bs Ab,3,,,,,,,,,,,,#VALUE!,,
HHV-5.(dsDNA) (Copies/mL),3,,,,,,,,,,,,#VALUE!,,
HHV-5.(dsDNA) (Log),3,,,,,,,,,,,,#VALUE!,,
HIV-1 (COPIES/ML),3,,,,,,,,,,,,#VALUE!,,
IgG(B2GP1),3,,,,,,,,,,,,#VALUE!,,
IgM(B2GP1),3,,,,,,,,,,,,#VALUE!,,
IVC,3,,,,,,,,,,,,#VALUE!,,
MCH.,3,,,,,,,,,,,,#VALUE!,,
MCHC.,3,,,,,,,,,,,,#VALUE!,,
MCV.,3,,,,,,,,,,,,#VALUE!,,
MMA Qnt,3,,,,,,,,,,,,#VALUE!,,
MPV,3,,,,,,,,,,,,#VALUE!,,
PCO2.,3,,,,,,,,,,,,#VALUE!,,
pH.,3,,,,,,,,,,,,#VALUE!,,
Platelet  Count.,3,,,,,,,,,,,,#VALUE!,,
pO2 Cap,3,,,,,,,,,,,,#VALUE!,,
Promyelo Man,3,,,,,,,,,,,,#VALUE!,,
PSA Free,3,,,,,,,,,,,,#VALUE!,,
PSA SO,3,,,,,,,,,,,,#VALUE!,,
RBC Count,3,,,,,,,,,,,,#VALUE!,,
RBC CSF4,3,,,,,,,,,,,,#VALUE!,,
RF,3,,,,,,,,,,,,#VALUE!,,
Sedimentation Rate (ESR),3,,,,,,,,,,,,#VALUE!,,
Tube Num CSF4,3,,,,,,,,,,,,#VALUE!,,
UA Leuk Est,3,,,,,,,,,,,,#VALUE!,,
WBC Count,3,,,,,,,,,,,,#VALUE!,,
WBC CSF4,3,,,,,,,,,,,,#VALUE!,,
(AA).CD2.0 (% Lymphocytes),2,,,,,,,,,,,,#VALUE!,,
(AA).CD2.0 (Abs Count),2,,,,,,,,,,,,#VALUE!,,
% BASOPHILS FLUID,2,,,,,,,,,,,,#VALUE!,,
% EOSINOPHILS FLUID,2,,,,,,,,,,,,#VALUE!,,
% LYMPHOCYTES FLUID,2,,,,,,,,,,,,#VALUE!,,
% MESOTHELIAL CELLS (FLUID),2,,,,,,,,,,,,#VALUE!,,
% MONOCYTES FLUID,2,,,,,,,,,,,,#VALUE!,,
% NEUTROPHILS FLUID,2,,,,,,,,,,,,#VALUE!,,
% OTHER CELLS (FLUID),2,,,,,,,,,,,,#VALUE!,,
AASTJIND,2,,,,,,,,,,,,#VALUE!,,
Alanine Aminotransferase,2,,,,,,,,,,,,#VALUE!,,
Albumin,2,,,,,,,,,,,,#VALUE!,,
Albumin fraction,2,,,,,,,,,,,,#VALUE!,,
ALPHA-1-FETOPROTEINS,2,,,,,,,,,,,,#VALUE!,,
Alpha1-globulin,2,,,,,,,,,,,,#VALUE!,,
Alpha2-globulin,2,,,,,,,,,,,,#VALUE!,,
ANTI DNA,2,,,,,,,,,,,,#VALUE!,,
AOSTJNCTD,2,,,,,,,,,,,,#VALUE!,,
ARMAXVEL,2,,,,,,,,,,,,#VALUE!,,
AVCSV,2,,,,,,,,,,,,#VALUE!,,
AVPHT,2,,,,,,,,,,,,#VALUE!,,
B-G Tocopherol,2,,,,,,,,,,,,#VALUE!,,
Basophil #.,2,,,,,,,,,,,,#VALUE!,,
Basophil %.,2,,,,,,,,,,,,#VALUE!,,
Beta-globulin,2,,,,,,,,,,,,#VALUE!,,
Bilirubin Delta,2,,,,,,,,,,,,#VALUE!,,
BNP,2,,,,,,,,,,,,#VALUE!,,
"BUN, Serum",2,,,,,,,,,,,,#VALUE!,,
"Calcium, Serum",2,,,,,,,,,,,,#VALUE!,,
"Cortisol, Plasma",2,,,,,,,,,,,,#VALUE!,,
DECSLOPE,2,,,,,,,,,,,,#VALUE!,,
Eosinophil #.,2,,,,,,,,,,,,#VALUE!,,
Eosinophil %.,2,,,,,,,,,,,,#VALUE!,,
Ferritin,2,,,,,,,,,,,,#VALUE!,,
FEV1 POST % CHNG,2,,,,,,,,,,,,#VALUE!,,
FEV1 POST % PRED,2,,,,,,,,,,,,#VALUE!,,
FEV1 POST ACTUAL,2,,,,,,,,,,,,#VALUE!,,
FEV1(L) % PRED,2,,,,,,,,,,,,#VALUE!,,
FibroMeter Patient Score,2,,,,,,,,,,,,#VALUE!,,
FVC % PRED,2,,,,,,,,,,,,#VALUE!,,
FVC POST % CHNG,2,,,,,,,,,,,,#VALUE!,,
FVC POST % PRED,2,,,,,,,,,,,,#VALUE!,,
FVC POST ACTUAL,2,,,,,,,,,,,,#VALUE!,,
Gamma-globulin,2,,,,,,,,,,,,#VALUE!,,
GBM Ab,2,,,,,,,,,,,,#VALUE!,,
HCT RBC Folate,2,,,,,,,,,,,,#VALUE!,,
Hep Bs Ag,2,,,,,,,,,,,,#VALUE!,,
HEPATITIS B SURFACE ANTIBODY,2,,,,,,,,,,,,#VALUE!,,
HSVType I,2,,,,,,,,,,,,#VALUE!,,
HSVType II,2,,,,,,,,,,,,#VALUE!,,
Iron,2,,,,,,,,,,,,#VALUE!,,
IVS DIASTOLIC THICKNESS MM,2,,,,,,,,,,,,#VALUE!,,
LOG 10 HIV-1 (COPIES,2,,,,,,,,,,,,#VALUE!,,
LVOT MEAN GRADIENT,2,,,,,,,,,,,,#VALUE!,,
LVOT PEAK GRADIENT,2,,,,,,,,,,,,#VALUE!,,
Lyme Ab,2,,,,,,,,,,,,#VALUE!,,
Lymph #.,2,,,,,,,,,,,,#VALUE!,,
Lymph %.,2,,,,,,,,,,,,#VALUE!,,
MACROPHAGES BF,2,,,,,,,,,,,,#VALUE!,,
"METHYLMALONIC ACID,",2,,,,,,,,,,,,#VALUE!,,
Mono #.,2,,,,,,,,,,,,#VALUE!,,
Mono %.,2,,,,,,,,,,,,#VALUE!,,
MV DIMENSIONLESS VALVE INDEX,2,,,,,,,,,,,,#VALUE!,,
MVCE,2,,,,,,,,,,,,#VALUE!,,
MVG,2,,,,,,,,,,,,#VALUE!,,
MVICSV,2,,,,,,,,,,,,#VALUE!,,
MVPG,2,,,,,,,,,,,,#VALUE!,,
MVVTI,2,,,,,,,,,,,,#VALUE!,,
Mycophenolic Acid,2,,,,,,,,,,,,#VALUE!,,
Mycoplasma IgM,2,,,,,,,,,,,,#VALUE!,,
Neutrophil #.,2,,,,,,,,,,,,#VALUE!,,
Neutrophil %.,2,,,,,,,,,,,,#VALUE!,,
NIL,2,,,,,,,,,,,,#VALUE!,,
nrOxycodone-R,2,,,,,,,,,,,,#VALUE!,,
OPIA-R,2,,,,,,,,,,,,#VALUE!,,
Other Man,2,,,,,,,,,,,,#VALUE!,,
PRE-TEST HR (BPM),2,,,,,,,,,,,,#VALUE!,,
PTH (Intra-OP),2,,,,,,,,,,,,#VALUE!,,
PTH(INTRA-OP),2,,,,,,,,,,,,#VALUE!,,
PV VTI,2,,,,,,,,,,,,#VALUE!,,
PVMG,2,,,,,,,,,,,,#VALUE!,,
PVPG,2,,,,,,,,,,,,#VALUE!,,
PVVMAX,2,,,,,,,,,,,,#VALUE!,,
RBC Folate,2,,,,,,,,,,,,#VALUE!,,
RETICULOCYTES,2,,,,,,,,,,,,#VALUE!,,
RV S',2,,,,,,,,,,,,#VALUE!,,
SIGNAL TO CUT-OFF,2,,,,,,,,,,,,#VALUE!,,
Sjogren SSA,2,,,,,,,,,,,,#VALUE!,,
Sjogren SSB,2,,,,,,,,,,,,#VALUE!,,
SQUAMOUS EPITHELIAL,2,,,,,,,,,,,,#VALUE!,,
"TESTO, FREE LC-MS/MS",2,,,,,,,,,,,,#VALUE!,,
Thrombin Time,2,,,,,,,,,,,,#VALUE!,,
Transferrin Saturation,2,,,,,,,,,,,,#VALUE!,,
Trig BF,2,,,,,,,,,,,,#VALUE!,,
TUBE NUMBER,2,,,,,,,,,,,,#VALUE!,,
UA KETONES,2,,,,,,,,,,,,#VALUE!,,
VANCOMYCIN TROUGH,2,,,,,,,,,,,,#VALUE!,,
VITAMIN B1(THIAMINE),2,,,,,,,,,,,,#VALUE!,,
WALKING SPEED(MPH),2,,,,,,,,,,,,#VALUE!,,
WBC FLUID,2,,,,,,,,,,,,#VALUE!,,
(AA).CD19.0 (% Lymphocytes),1,,,,,,,,,,,,#VALUE!,,
(AA).CD19.0 (Abs Count),1,,,,,,,,,,,,#VALUE!,,
# METAMYELOCYTES,1,,,,,,,,,,,,#VALUE!,,
% Basos,1,,,,,,,,,,,,#VALUE!,,
% Lymph Var,1,,,,,,,,,,,,#VALUE!,,
% PROMYELOCYTES,1,,,,,,,,,,,,#VALUE!,,
% SATURATION,1,,,,,,,,,,,,#VALUE!,,
37 C,1,,,,,,,,,,,,#VALUE!,,
A2 Macroglob,1,,,,,,,,,,,,#VALUE!,,
ABG Hct,1,,,,,,,,,,,,#VALUE!,,
ABG Hgb,1,,,,,,,,,,,,#VALUE!,,
ABS RETIC,1,,,,,,,,,,,,#VALUE!,,
